filename,integer_flows,reentrancy,timestamp,unchecked_low_level_calls,non_vulnerable
0x0348b55abd6e1a99c6ebc972a6a4582ec0bceb5c.sol,1,0,0,0,0
0x035a401972f228b58dcae76bf318b54ed036d680.sol,1,0,0,1,0
0x040d11c850fb167cddb1e4d308fe9062fddaebd1.sol,1,0,0,1,0
0x06012c8cf97bead5deae237070f9587f8e7a266d.sol,1,0,0,0,0
0x08fca9bfaed36c29ee3435206158f13dedf4a859.sol,1,0,0,1,0
0x0E915b35cC269b2DfC8BbD8E4A88Ed4884a53EfC.sol,1,0,0,0,0
0x103c2c150a2dbcc277ee084c59881978060c8c22.sol,1,0,0,0,0
0x141766882733cafa9033e8707548fdcac908db22.sol,1,0,0,0,0
0x14a3f4795076c0ae67c2aa9efc10e58427a00dff.sol,1,0,0,0,0
0x14cf6193935b17fc72649ba420fdd5bfdf1f0001.sol,1,0,1,1,0
0x16885883e2785C56D279636b45fB85d8F9B0db23.sol,1,0,0,0,0
0x16a0772b17ae004e6645e0e95bf50ad69498a34e.sol,1,0,0,1,0
0x1748255382157bc5d4ed7e70c56afc5c97bddf07.sol,1,0,0,0,0
0x1e025340d6f75a2a4ef81139049cfbf976782eeb.sol,1,0,1,0,0
0x1f31d1168efe4bd22d00d31fc425e5bcb54c75e7.sol,1,0,0,0,0
0x1fc7bd85293f3982f40d52698df8d26be89360d6.sol,1,0,0,0,0
0x208d6ed75f6aacdb9c71099c0943736fddbf5989.sol,1,0,0,1,0
0x219218f117dc9348b358b8471c55a073e5e0da0b.sol,1,0,0,0,0
0x22164e957ac4c0cb0f19c49b05e627675436dfe1.sol,1,0,1,0,0
0x225ad9683005ce6fde4eae78c7ed91a499182378.sol,1,0,0,0,0
0x286e052bc8250250566683424001ee5224867d91.sol,1,0,0,0,0
0x29aa20fB9b23421E310BDB8a7cfB81d7fbB4a1b3.sol,1,0,0,0,0
0x2af47a65da8cd66729b4209c22017d6a5c2d2400.sol,1,0,0,1,0
0x2c6c596cfd4c2c3b039db90fd3c8acb564e13251.sol,1,0,0,0,0
0x32bacc8b241fb172fee18bda32527126c6f3c5f7.sol,1,0,0,1,0
0x3339ec512996fcdfacae2fbe941b6820f2c4e8b2.sol,1,0,1,0,0
0x336db6c1ead9cc4d5b0a33ac03c057e20640126a.sol,1,0,0,0,0
0x357f07ac89ee6329a70ca837d6bfc16b0275015f.sol,1,0,0,0,0
0x35d82234a9f2cfe1dc2fb7665c785e1755cfd559.sol,1,0,0,1,0
0x3726cc0cdb26106bfb297ee6697da2a8687f385b.sol,1,0,0,0,0
0x3aaa175924a77ee4b40606f714b727331e430ece.sol,1,0,0,0,0
0x3bb62bada8f9921dcf0b1be5d2c972d69c064d84.sol,1,0,1,1,0
0x3c7767011C443EfeF2187cf1F2a4c02062da3998.sol,1,0,1,0,0
0x3f0a24a07b2d729a02640deb1d27cd00da72b799.sol,1,0,0,1,0
0x402b92b00552409ed1ad83a74ff037ce1a3d7276.sol,1,0,0,0,0
0x476c331d7f6569dc4bd16ef6673f7a89cd6f37c3.sol,1,0,0,0,0
0x47d47c1f174bf9e7322974998e62968cec96257c.sol,1,0,0,0,0
0x49516fe7bdc54b29a7f95ff55fdd38d9228e55af.sol,1,0,0,0,0
0x5052787b0B9cEC67442E2FF43D2176693377Bc5A.sol,1,0,0,0,0
0x52e34238bacb8730d4804637891c87656b5407d5.sol,1,0,0,0,0
0x535ab96be208f115302facee73ae976e9174ac0b.sol,1,0,0,1,0
0x53e3a7ec57132173ce615debb9a303fd2cd86789.sol,1,0,0,0,0
0x575cb87ab3c2329a0248c7d70e0ead8e57f3e3f7.sol,1,0,0,0,0
0x615ed6779507f223d04722d43ccc0cd871964e2a.sol,1,0,0,1,0
0x62451d37ca2ec1f0499996bc3c7e2baf258e9729.sol,1,0,1,0,0
0x6abf810730a342add1374e11f3e97500ee774d1f.sol,1,0,0,0,0
0x6c9e70d6682ea36ff340153d574b2c523671b107.sol,1,0,0,1,0
0x6d5cac36c1ae39f41d52393b7a425d0a610ad9f2.sol,1,0,0,0,0
0x6f5C1Ed62A4fA41CFC332D81FAFd3CD38aaCBD85.sol,1,0,1,0,0
0x709c7134053510fce03b464982eab6e3d89728a5.sol,1,0,0,0,0
0x7352cb77c2478a59d21230a8d65146e04b59f58c.sol,1,0,0,1,0
0x747616c4a19bd9bf1e2b6c8a77d206ea1f9c6018.sol,1,0,0,0,0
0x78a73B6CBc5D183CE56e786f6e905CaDEC63547B.sol,1,0,1,0,0
0x7c32DB0645A259FaE61353c1f891151A2e7f8c1e.sol,1,0,0,0,0
0x7c8b63c4cf7a6009e06dc78d9a8352cd0541556f.sol,1,0,1,0,0
0x7ee41a4c66e92fe28abd5bde30ad644a2dc8b15f.sol,1,0,1,0,0
0x833ede3050c27d88e5da6922a312e3fdc15be29b.sol,1,0,0,0,0
0x83b7EEb4D6eC1289578186f1da64A876DC71FCbb.sol,1,0,0,1,0
0x83c54a35e72ae07c46fc8f8f172a13ba19ac3bed.sol,1,0,0,1,0
0x87d1ccf428832015d6108520d6d0909013753a62.sol,1,0,0,0,0
0x8b34fbc553db3462ad4909f2e5577cc22f63c216.sol,1,0,1,0,0
0x8b7d07b6ffB9364e97B89cEA8b84F94249bE459F.sol,1,0,0,0,0
0x8BF1E43e3Ca6f5c25C380803154aE687D682Ad32.sol,1,0,0,0,0
0x8cd8baa410e9172b949f2c4433d3b5905f8606ff.sol,1,0,0,1,0
0x8d2AAE6a7EB63Ba89c36e82385f096d41074Cd87.sol,1,0,0,1,0
0x8d80de8a78198396329dfa769ad54d24bf90e7aa.sol,1,0,0,1,0
0x8ff920020c8ad673661c8117f2855c384758c572.sol,1,0,0,1,0
0x91a57b2f6fa86b373bce5716eb26c81cbb004223.sol,1,0,0,0,0
0x97282A7a15f9bEaDC854E8793AAe43B089F14b4e.sol,1,0,0,1,0
0x995020804986274763df9deb0296b754f2659ca1.sol,1,0,0,0,0
0x9AcA6aBFe63A5ae0Dc6258cefB65207eC990Aa4D.sol,1,0,0,0,0
0x9b0f6a5a667cb92af0cd15dbe90e764e32f69e77.sol,1,0,0,0,0
0x9BD8f4736877567E267ee445209a0b2aAFc01402.sol,1,0,0,0,0
0x9c099997100fe55041b2028332A027ad7004AAc4.sol,1,0,0,0,0
0x9Ea7BA960A2668Df52eE0389C4617D48853b7006.sol,1,0,0,1,0
0x9EA80e204045329Ba752D03C395F82A12799f13d.sol,1,0,0,0,0
0xa14c275277b788c20534066335e8bd3de77ffde4.sol,1,0,0,0,0
0xa1877c74562821ff59ffc0bc999e6a2e164f4d87.sol,1,0,1,0,0
0xa1c957c0210397d2d0296341627b74411756d476.sol,1,0,0,0,0
0xa646e29877d52b9e2de457eca09c724ff16d0a2b.sol,1,0,0,1,0
0xa723606e907bf84215d5785ea7f6cd93a0fbd121.sol,1,0,0,1,0
0xa7f598984f6a77da416efaaf6ff18f5f7b9eeab2.sol,1,0,0,0,0
0xA97fF44CFf7101FaC76aF172F088f400F28cb4E9.sol,1,0,0,0,0
0xACbfB851D69EF8Eca1453d82f38B590268ca46B1.sol,1,0,1,0,0
0xace518c4cb2b823c2ab2b12c709e71e11cfb8896.sol,1,0,1,0,0
0xadaac4cb430f4f4aa0d60741bc263f3dfec0790a.sol,1,0,0,0,0
0xaf7aea249098f2c2f50cc11d4000ccf798194373.sol,1,0,0,0,0
0xb0bef286a13457b963c710fa7765961d09a27c63.sol,1,0,0,0,0
0xb104df39250112eda59b27f5db7013c7ee132d50.sol,1,0,0,0,0
0xb1690c08e213a35ed9bab7b318de14420fb57d8c.sol,1,0,0,0,0
0xb3775fb83f7d12a36e0475abdd1fca35c091efbe.sol,1,0,0,0,0
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB.sol,1,0,0,0,0
0xb5fbae0361855617c58ef95a186889f0122e6642.sol,1,0,0,1,0
0xB71Cd8f21D5C21edcd113CA2807189ddcAf9DD44.sol,1,0,0,0,0
0xb8bf73550f251562d308882e032225a700a7b9bc.sol,1,0,1,0,0
0xba2184520a1cc49a6159c57e61e1844e085615b6.sol,1,0,1,0,0
0xbc1aB7F58a95cf307Ba5Ee18CF06b7eD0120da7a.sol,1,0,1,1,0
0xc03281af336e2c25b41ff893a0e6ce1a932b23af.sol,1,0,0,1,0
0xC16b542ff490e01fcc0DC58a60e1EFdc3e357cA6.sol,1,0,0,0,0
0xc23f76aea00b775aadc8504ccb22468f4fd2261a.sol,1,0,1,1,0
0xc5cdcd5470aef35fc33bddff3f8ecec027f95b1d.sol,1,0,0,1,0
0xc67c1f88f31e724b137a057292e55cb42a5f3241.sol,1,0,0,0,0
0xc70afb5612b16d36d2204052f81932064fd084c5.sol,1,0,0,0,0
